matching_type;redcap_name;redcap_options;orakloncology_name;orakloncology_options;data_type
3;sexe;1;sex;man;clinical-profile
3;sexe;2;sex;woman;clinical-profile
1;dob;;date_birth;;clinical-profile
1;dod;;date_diagnosis;;clinical-profile
1;age_diagnosis;;age_diagnosis;;clinical-profile
1;poids_diag;;weight_diagnosis;;clinical-profile
1;taille_diag;;size_diagnosis;;clinical-profile
2;atcd_onco___1;;medical_history;breast;clinical-profile
2;atcd_onco___2;;medical_history;prostate;clinical-profile
2;atcd_onco___3;;medical_history;pancreas;clinical-profile
2;atcd_onco___4;;medical_history;stomach;clinical-profile
2;atcd_onco___5;;medical_history;ovary;clinical-profile
2;atcd_onco___6;;medical_history;endometriosis;clinical-profile
2;atcd_onco___7;;medical_history;lung;clinical-profile
2;atcd_onco___8;;medical_history;leukemia;clinical-profile
2;atcd_onco___9;;medical_history;lymphoma;clinical-profile
2;atcd_onco___10;;medical_history;none;clinical-profile
2;atcd_onco___99;;medical_history;other_cancer;clinical-profile
3;deces_ou_perte_de_vue;1;patient_fate;dead;clinical-profile
3;deces_ou_perte_de_vue;2;patient_fate;alive;clinical-profile
3;deces_ou_perte_de_vue;3;patient_fate;lost_patient;clinical-profile
1;dodeath;;date_death;;clinical-profile
3;cause_death;1;cause_death;progression;clinical-profile
3;cause_death;2;cause_death;complication_treatment;clinical-profile
3;cause_death;3;cause_death;intercurrent_cause;clinical-profile
3;cause_death;999;cause_death;not_reported;clinical-profile
1;patients_characteristics_complete;;patients_characteristics_complete ;;clinical-profile
3;ecog_diag;0;ecog_at_diag ;0;clinical-profile
3;ecog_diag;1;ecog_at_diag ;1;clinical-profile
3;ecog_diag;2;ecog_at_diag ;2;clinical-profile
3;ecog_diag;3;ecog_at_diag ;3;clinical-profile
3;ecog_diag;4;ecog_at_diag ;4;clinical-profile
3;ecog_diag;999;ecog_at_diag ;not_reported;clinical-profile
3;stade;1;stage_at_diagnosis;non_metastatic;clinical-profile
3;stade;2;stage_at_diagnosis;metastatic;clinical-profile
2;site_metastatique_diag___1;;metastasis_at_diagnosis;adenopathy;clinical-profile
2;site_metastatique_diag___2;;metastasis_at_diagnosis;lung;clinical-profile
2;site_metastatique_diag___3;;metastasis_at_diagnosis;liver;clinical-profile
2;site_metastatique_diag___4;;metastasis_at_diagnosis;suprarenalglands;clinical-profile
2;site_metastatique_diag___5;;metastasis_at_diagnosis;peritoneal;clinical-profile
2;site_metastatique_diag___6;;metastasis_at_diagnosis;bone;clinical-profile
2;site_metastatique_diag___7;;metastasis_at_diagnosis;ovary;clinical-profile
2;site_metastatique_diag___8;;metastasis_at_diagnosis;other;clinical-profile
3;tum_site;1;tumor_site;right;clinical-profile
3;tum_site;2;tumor_site;left;clinical-profile
3;tum_site;3;tumor_site;rectum;clinical-profile
3;tum_site;999;tumor_site;not_reported;clinical-profile
1;ca19_9_diag;;ca19_9_diag;;clinical-profile
1;redcap_repeat_instrument;;redcap_repeat_instrument;;treatment
3;type_sample ;1;PDO_generation_source;biopsy;clinical-profile
3;type_sample ;2;PDO_generation_source;ascitis;clinical-profile
3;type_sample ;3;PDO_generation_source;surgery;clinical-profile
3;type_sample ;4;PDO_generation_source;pleural_effusion;clinical-profile
3;biopsie_site ;1;PDO_generation_biopsy_localisation;liver;clinical-profile
3;biopsie_site ;2;PDO_generation_biopsy_localisation;peritoneum;clinical-profile
3;biopsie_site ;3;PDO_generation_biopsy_localisation;node;clinical-profile
3;biopsie_site ;4;PDO_generation_biopsy_localisation;lung;clinical-profile
3;biopsie_site ;5;PDO_generation_biopsy_localisation;other;clinical-profile
1;date_sample;;date_cell_line;;clinical-profile
1;nom_lign_e;;cell_line_code;;clinical-profile
1;nb_lignes_avant_sample ;;lines_before_biopsy;;clinical-profile
4;datedebutneoadj;;first_dose_date;;treatment
4;datefinneoadj;;last_dose_date;;treatment
